Date,Time,SensorID,Temperature,Humidity
2025-04-23,14:43:01,DHTSensor,23.8,
2025-04-23,14:43:01,DHTSensor,,55.0
2025-04-23,14:43:11,DHTSensor,23.8,
2025-04-23,14:43:11,DHTSensor,,55.0
2025-04-23,14:43:21,DHTSensor,23.8,
2025-04-23,14:43:21,DHTSensor,,55.0
2025-04-23,14:43:31,DHTSensor,23.8,
2025-04-23,14:43:31,DHTSensor,,55.0
2025-04-23,14:43:41,DHTSensor,23.8,
2025-04-23,14:43:41,DHTSensor,,55.0
2025-04-23,14:43:51,DHTSensor,23.8,
2025-04-23,14:43:51,DHTSensor,,55.0
2025-04-23,14:44:01,DHTSensor,23.8,
2025-04-23,14:44:01,DHTSensor,,55.0
2025-04-23,14:44:11,DHTSensor,23.8,
2025-04-23,14:44:11,DHTSensor,,55.0
2025-04-23,14:44:21,DHTSensor,23.8,
2025-04-23,14:44:21,DHTSensor,,55.0
2025-04-23,14:44:31,DHTSensor,23.8,
2025-04-23,14:44:31,DHTSensor,,55.0
2025-04-23,14:44:41,DHTSensor,23.8,
2025-04-23,14:44:41,DHTSensor,,55.0
2025-04-23,14:44:51,DHTSensor,23.8,
2025-04-23,14:44:51,DHTSensor,,55.0
2025-04-23,14:45:01,DHTSensor,23.8,
2025-04-23,14:45:01,DHTSensor,,55.0
2025-04-23,14:45:11,DHTSensor,23.8,
2025-04-23,14:45:12,DHTSensor,,55.0
2025-04-23,14:45:21,DHTSensor,23.8,
2025-04-23,14:45:21,DHTSensor,,55.0
2025-04-23,14:45:31,DHTSensor,23.8,
2025-04-23,14:45:31,DHTSensor,,55.0
2025-04-23,14:45:41,DHTSensor,23.8,
2025-04-23,14:45:41,DHTSensor,,55.0
2025-04-23,14:45:51,DHTSensor,23.8,
2025-04-23,14:45:51,DHTSensor,,55.0
2025-04-23,14:46:01,DHTSensor,23.8,
2025-04-23,14:46:02,DHTSensor,,55.0
2025-04-23,14:46:11,DHTSensor,23.8,
2025-04-23,14:46:12,DHTSensor,,55.0
2025-04-23,14:46:21,DHTSensor,23.8,
2025-04-23,14:46:22,DHTSensor,,55.0
2025-04-23,14:46:32,DHTSensor,23.8,
2025-04-23,14:46:32,DHTSensor,,55.0
2025-04-23,14:46:41,DHTSensor,23.8,
2025-04-23,14:46:42,DHTSensor,,55.0
2025-04-23,14:46:51,DHTSensor,23.8,
2025-04-23,14:46:52,DHTSensor,,55.0
2025-04-23,14:47:02,DHTSensor,23.8,
2025-04-23,14:47:02,DHTSensor,,55.0
2025-04-23,14:47:12,DHTSensor,23.8,
2025-04-23,14:47:12,DHTSensor,,55.0
2025-04-23,14:47:22,DHTSensor,23.8,
2025-04-23,14:47:22,DHTSensor,,55.0
2025-04-23,14:47:32,DHTSensor,23.8,
2025-04-23,14:47:32,DHTSensor,,55.0
2025-04-23,14:47:42,DHTSensor,23.8,
2025-04-23,14:47:42,DHTSensor,,55.0
2025-04-23,14:47:52,DHTSensor,23.8,
2025-04-23,14:47:52,DHTSensor,,55.0
2025-04-23,14:48:02,DHTSensor,23.8,
2025-04-23,14:48:02,DHTSensor,,55.0
2025-04-23,14:48:12,DHTSensor,23.8,
2025-04-23,14:48:12,DHTSensor,,55.0
2025-04-23,14:48:22,DHTSensor,23.8,
2025-04-23,14:48:22,DHTSensor,,55.0
2025-04-23,14:48:32,DHTSensor,23.8,
2025-04-23,14:48:32,DHTSensor,,55.0
2025-04-23,14:48:42,DHTSensor,23.8,
2025-04-23,14:48:42,DHTSensor,,55.0
2025-04-23,14:48:52,DHTSensor,23.8,
2025-04-23,14:48:52,DHTSensor,,55.0
2025-04-23,14:49:02,DHTSensor,23.8,
2025-04-23,14:49:02,DHTSensor,,55.0
